"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
1,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,28358,3272,3455,3261,0,1000,5737,1000,1000,0,2000
0,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,24800,28314,28959,29547,2000,2019,11180,1200,1100,1069,1000
0,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,62465,0,0,0,0,0,19095,0,0,0,0
0,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,59162,0,0,0,0,0,11180,0,0,0,0
0,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,39385,20616,11802,930,3000,1537,11180,1000,2000,930,33764
0,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,36757,17878,18931,19617,1300,1300,11180,1000,1500,1000,1012
0,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,22105,7521,71439,8981,4152,22827,5737,7521,71439,981,51582
0,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,26680,63699,64718,65970,3000,4500,19095,4042,2500,2800,2500
0,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,9445,64280,67079,69802,3000,3000,11180,3000,4000,4000,3000
0,150000,2,1,2,29,2,0,0,0,0,0,?,34993,31434,31141,26518,21042,16540,1600,1718,19095,1049,1500,2000,5000
0,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,60131,0,2359,0,0,3155,19095,0,2359,0,0
1,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,12172,21993,19899,19771,1576,1213,11180,648,768,1140,0
0,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,26933,20414,19342,19482,1676,1302,5737,700,699,?,826
1,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,25328,144098,147124,149531,6300,5500,5737,5500,5500,5000,5000
0,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,57277,35565,30942,30835,3621,3597,19095,1179,1112,1104,1143
